                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.92502,                 1.0839,                 1.2851,                0.89049,                0.82758,                0.92748,                0.67544,                0.86497,                0.94607,                 1.3302,             0.00054685,             0.00054685,             0.00054685
                      1,                0.98086,                 1.1072,                 1.3303,                0.76865,                0.76389,                0.76309,                0.55236,                0.88875,                 1.2377,                 1.4159,              0.0010916,              0.0010916,              0.0010916
                      2,                 1.0644,                 1.1902,                 1.3736,                0.90574,                   0.75,                0.89132,                0.64445,                0.93393,                 1.0895,                 1.4129,              0.0016253,              0.0016253,              0.0016253
                      3,                 1.1001,                 1.2513,                 1.4089,                0.81466,                0.82149,                0.87091,                0.60348,                 1.0918,                 1.0603,                 1.5854,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.1356,                 1.2932,                 1.4336,                0.70751,                0.77316,                0.79954,                0.57177,                0.87001,                 1.2183,                 1.3615,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1914,                 1.3031,                 1.4626,                0.73685,                0.77405,                0.80359,                0.57046,                0.97515,                 1.1372,                 1.4839,               0.001601,               0.001601,               0.001601
                      6,                 1.1423,                 1.3161,                 1.4337,                0.74413,                   0.75,                0.80295,                0.56246,                 0.9906,                  1.167,                 1.4789,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0973,                 1.1787,                 1.3691,                0.81151,                0.66667,                0.79842,                0.54898,                0.97845,                 1.3217,                 1.4912,               0.001568,               0.001568,               0.001568
                      8,                  1.092,                 1.1941,                 1.3816,                0.81166,                0.76935,                0.83447,                0.60253,                 1.0118,                 1.2168,                 1.4944,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0448,                 1.1152,                 1.3511,                0.92218,                0.85135,                0.91064,                0.64975,                0.99399,                 0.9619,                 1.5177,               0.001535,               0.001535,               0.001535
                     10,                 1.0438,                 1.0961,                 1.3587,                0.88681,                0.77945,                0.91229,                0.66995,                 1.0098,                 1.0264,                 1.5216,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0529,                 1.0814,                 1.3717,                 0.8385,                0.79167,                0.86156,                0.59698,                 1.0884,                 1.0146,                 1.5756,               0.001502,               0.001502,               0.001502
                     12,                 1.0086,                 1.0413,                 1.3233,                0.82623,                0.86988,                0.88561,                0.60368,                0.97138,                0.95987,                 1.4642,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0402,                  1.075,                 1.3415,                 0.8646,                0.80071,                0.89393,                0.67464,                0.91672,                0.91081,                 1.4184,               0.001469,               0.001469,               0.001469
                     14,                 1.0323,                 1.0192,                 1.3401,                0.89434,                0.80175,                0.90375,                0.64883,                0.93052,                 0.9017,                 1.4954,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0314,                 1.0529,                 1.3471,                0.86874,                0.81944,                0.91471,                0.70258,                0.89512,                0.91476,                 1.4201,               0.001436,               0.001436,               0.001436
                     16,                 1.0068,                 1.0411,                 1.3143,                0.88875,                0.77536,                0.89147,                0.67458,                0.96208,                0.98442,                 1.4331,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0045,                 1.0543,                 1.3483,                0.88025,                0.88889,                0.91987,                0.71316,                0.87699,                0.78734,                 1.4015,              0.0014029,              0.0014029,              0.0014029
                     18,                0.99075,                 1.0112,                 1.3263,                0.85485,                  0.872,                0.90884,                0.68825,                0.80185,                0.89425,                 1.3084,              0.0013864,              0.0013864,              0.0013864
                     19,                0.94756,                0.97026,                 1.2979,                0.90634,                0.91667,                0.94725,                0.72704,                0.83699,                0.82886,                 1.3424,              0.0013699,              0.0013699,              0.0013699
                     20,                0.98603,                0.98323,                 1.3211,                0.83503,                0.87262,                0.92382,                0.70407,                0.84875,                0.76911,                 1.3425,              0.0013534,              0.0013534,              0.0013534
                     21,                0.98956,                0.95819,                 1.2987,                0.89526,                0.80556,                0.90734,                0.72791,                0.75402,                0.85155,                  1.275,              0.0013369,              0.0013369,              0.0013369
                     22,                0.94746,                0.96158,                 1.3014,                0.82556,                 0.9152,                0.91619,                0.69831,                0.81561,                0.80195,                 1.3412,              0.0013204,              0.0013204,              0.0013204
                     23,                0.94849,                0.91331,                 1.2959,                0.84461,                0.87742,                0.91321,                 0.6775,                0.92258,                0.88074,                  1.456,              0.0013039,              0.0013039,              0.0013039
                     24,                0.90484,                0.89443,                 1.2487,                0.91799,                0.85998,                0.95551,                0.76504,                0.72904,                0.79461,                  1.243,              0.0012874,              0.0012874,              0.0012874
                     25,                0.90642,                0.90323,                 1.2714,                0.91204,                0.84722,                0.92253,                0.72154,                 0.7569,                0.78002,                 1.2511,              0.0012709,              0.0012709,              0.0012709
                     26,                0.92079,                0.84924,                 1.2765,                0.91943,                0.89618,                0.96176,                0.74924,                0.75596,                0.74153,                  1.284,              0.0012544,              0.0012544,              0.0012544
                     27,                0.91803,                 0.8344,                 1.2785,                0.94954,                0.90278,                0.96993,                0.77971,                0.73577,                0.64178,                 1.2907,              0.0012379,              0.0012379,              0.0012379
                     28,                0.89337,                0.85896,                 1.2621,                0.94218,                0.86111,                 0.9506,                0.77184,                0.76504,                0.64646,                 1.2832,              0.0012214,              0.0012214,              0.0012214
                     29,                0.87583,                0.81413,                 1.2434,                 0.9532,                0.83843,                0.94608,                 0.7385,                 0.7983,                0.71237,                 1.3237,              0.0012049,              0.0012049,              0.0012049
                     30,                0.87542,                0.86207,                 1.2451,                 0.9472,                0.85026,                0.92286,                0.77032,                0.72104,                0.76838,                 1.2502,              0.0011884,              0.0011884,              0.0011884
